"","month","avg_monthly_rain","month.1","avg_monthly_temp"
"1","January",5.95397849462366,1,6.61669606114051
"2","February",6.09084568192544,2,6.74587726412544
"3","March",5.49546752688172,3,7.4789710485133
"4","April",3.33067377777778,4,9.92205410362219
"5","May",1.27436989247312,5,14.2467456486763
"6","June",0.362712,6,19.7475209763539
"7","July",0.128147096774194,7,24.3253793978432
"8","August",0.0876163440860215,8,23.9515107212476
"9","September",0.654547254725473,9,20.9962039601929
"10","October",1.57792240627725,10,15.5481685261603
"11","November",3.79363873873874,11,10.0685277904213
"12","December",5.38371490845684,12,6.90234202386213
